Date,BAC,BP,EBAY,GM,HMC,HP,PYPL,RYAAY,SHEL,X
17/09/2024,39.33121109,32.03418732,64.60760498,47.41319275,31.47999954,31.69417953,71.76999664,44.45778275,67.43732452,36.18685913
18/09/2024,39.4008255,31.9160881,62.90478134,48.55062866,31.72999954,31.10853767,73.12000275,44.10164261,67.45710754,36.73620224
19/09/2024,40.64390945,32.24085617,62.95457458,48.5107193,32.61999893,32.00189209,77.56999969,46.06642532,68.44665527,38.03465652
20/09/2024,40.04722977,32.12276077,62.45667648,48.77013779,32.72000122,32.37908173,76.76000214,45.51420593,68.00135803,38.91360474
23/09/2024,39.64944077,32.33927536,63.18360901,47.93202591,32.95000076,32.74635315,77.66999817,45.36614609,68.35759735,38.56402588
24/09/2024,39.23176575,32.30975342,65.16526031,47.96195602,32.74000168,32.61730957,78.33999634,45.8783493,68.6841507,37.75498581
25/09/2024,39.03287125,31.1779747,63.83087921,45.62721634,32.88000107,30.91993904,77.36000061,46.43057251,67.30867767,38.17448807
26/09/2024,39.30138016,30.30207825,63.67155075,45.70703888,33.61000061,29.43101883,80.08000183,47.09883881,64.65670013,36.07698822
27/09/2024,39.18204498,30.92209435,63.73130035,46.37553024,32.22000122,29.77843285,77.87999725,45.09003448,65.4186554,35.57758331
30/09/2024,39.460495,30.89256859,64.8366394,44.73921585,31.72999954,30.19533157,78.02999878,45.18000031,65.26032257,35.28793335
01/10/2024,39.00304031,31.58147621,65.55361938,44.77912903,31.87000084,31.34676361,77.47000122,44.34999847,66.1707077,34.95832443
02/10/2024,39.01298141,31.8570385,64.9262619,44.71926117,32.33000183,32.00189209,77.44000244,43.00999832,67.11077118,34.55879593
03/10/2024,39.03287125,31.94561195,65.1055069,44.87890244,31.77000046,33.18310165,77.30999756,42.79999924,67.74407959,34.88840485
04/10/2024,39.88811493,32.3589592,66.01168823,45.57732773,32.61999893,34.03675079,79.36000061,43.15000153,67.79355621,35.42776489
07/10/2024,39.73894501,32.61483765,66.4896698,45.87665176,32.06999969,35.16833115,80.26000214,42.09999847,69.49557495,35.34785843
08/10/2024,39.70911026,31.52242661,66.88799286,45.90658569,31.98999977,34.21541977,81.16000366,43.41999817,67.55606079,35.21800995
09/10/2024,39.96767044,31.47321892,66.66891479,47.82226944,31.45000076,34.30475616,81.65000153,43.79999924,67.5065918,35.60755157
10/10/2024,39.74888992,31.82751465,65.77269745,47.58280945,31.81999969,34.87054825,78.98000336,43.29999924,68.12010193,35.367836
11/10/2024,41.71793747,31.60116005,66.0515213,47.7624054,31.69000053,36.16094589,80.51000214,43.52999878,67.77376556,36.56640625
14/10/2024,41.67815781,31.48306084,66.59920502,48.52069855,31.87999916,35.72419739,80.66999817,44.18999863,67.66490936,36.37662888
15/10/2024,41.90688324,30.25286865,66.70874786,47.74245071,30.67000008,33.80844879,79.55000305,44.52000046,65.38896942,36.92597961
16/10/2024,42.56323242,30.43985939,66.63903809,48.89984131,31.07999992,34.41394043,80.81999969,44.83000183,65.9431076,37.92478561
